trial 25, 12.3619999886 seconds, initial = 47.1924289236, final = 40.6569256623, result = 6.53550326126
trial 26, 12.7059998512 seconds, initial = 47.1924289236, final = 40.4679405615, result = 6.72448836201
trial 27, 12.2680001259 seconds, initial = 47.1924289236, final = 40.4679410864, result = 6.72448783711
trial 28, 11.7349998951 seconds, initial = 47.1924289236, final = 41.1784163251, result = 6.01401259844
trial 29, 14.1440000534 seconds, initial = 47.1924289236, final = 40.4679401381, result = 6.72448878543
trial 30, 13.376999855 seconds, initial = 47.1924289236, final = 40.4680786729, result = 6.72435025066
trial 31, 13.111000061 seconds, initial = 47.1924289236, final = 40.4679406506, result = 6.72448827295
trial 32, 13.0909998417 seconds, initial = 47.1924289236, final = 40.4679397865, result = 6.72448913707
trial 33, 13.5580000877 seconds, initial = 47.1924289236, final = 40.4706050824, result = 6.72182384114
trial 34, 13.117000103 seconds, initial = 47.1924289236, final = 41.3063942796, result = 5.88603464391
trial 35, 12.6510000229 seconds, initial = 47.1924289236, final = 40.4679397253, result = 6.72448919821
trial 36, 12.7940001488 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916552
trial 37, 12.4019999504 seconds, initial = 47.1924289236, final = 40.4679398174, result = 6.72448910617
trial 38, 13.4679999352 seconds, initial = 47.1924289236, final = 40.4679397296, result = 6.72448919394
trial 39, 12.5710000992 seconds, initial = 47.1924289236, final = 40.6569255736, result = 6.53550334998
trial 40, 12.4660000801 seconds, initial = 47.1924289236, final = 40.4679396427, result = 6.72448928084
trial 41, 12.8739998341 seconds, initial = 47.1924289236, final = 41.1784163627, result = 6.01401256086
trial 42, 13.1240000725 seconds, initial = 47.1924289236, final = 40.4679397847, result = 6.72448913884
trial 43, 13.2630000114 seconds, initial = 47.1924289236, final = 40.4679401564, result = 6.72448876714
trial 44, 13.0199999809 seconds, initial = 47.1924289236, final = 40.4679405071, result = 6.72448841641
trial 45, 12.8699998856 seconds, initial = 47.1924289236, final = 40.4679396197, result = 6.72448930387
trial 46, 13.8970000744 seconds, initial = 47.1924289236, final = 40.4679398175, result = 6.72448910602
trial 47, 12.3669998646 seconds, initial = 47.1924289236, final = 40.4679396369, result = 6.72448928666
trial 48, 12.9140000343 seconds, initial = 47.1924289236, final = 40.4679396511, result = 6.72448927247
trial 49, 12.5869998932 seconds, initial = 47.1924289236, final = 40.4679398342, result = 6.72448908939
